DMS_id,feature_id,rank_within_assay,spearman_dms,abs_spearman_dms,spearman_esm,permutation_p,bh_q,target_length,assay_positions,motif_hit_count,active_positions,motif_positions,overlap_positions,overlap_fraction_active,fisher_p,low_target_motif_alignment,swissprot_tokens,swissprot_motif_positive_fraction,motif_auc,motif_spearman,motif_spearman_p,low_swissprot_motif_alignment
PIN1_HUMAN_Tsuboyama_2023_1I6C,4551,1,0.6504850742207563,0.6504850742207563,0.42580615399968125,0.004975124378109453,1.0,39,39,17,6,34,4,0.6666666666666666,0.9807887702624545,False,,,,,,True
AMFR_HUMAN_Tsuboyama_2023_4G3O,2554,1,-0.638021618460178,0.638021618460178,-0.07677008092041165,0.004975124378109453,1.0,47,47,14,7,36,2,0.2857142857142857,0.9997302974126917,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,497,1,0.6276743318037632,0.6276743318037632,0.2897371567984002,0.004975124378109453,1.0,40,40,8,6,26,6,1.0,0.05998103366524419,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,8842,1,0.6081323637583445,0.6081323637583445,0.12711829011936346,0.004975124378109453,1.0,44,44,12,7,25,4,0.5714285714285714,0.657314891574676,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,2038,2,-0.6045721215549315,0.6045721215549315,-0.3385119859994838,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,586,3,0.6016758029769136,0.6016758029769136,0.3793485072869074,0.004975124378109453,1.0,39,39,17,6,34,5,0.8333333333333334,0.8386454702244176,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,8494,2,0.5879073573637831,0.5879073573637831,0.38498927031732416,0.004975124378109453,1.0,40,40,8,6,26,5,0.8333333333333334,0.299905168326221,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,5486,4,-0.5678167986783119,0.5678167986783119,-0.2551696695179308,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,4441,1,0.5672608201270863,0.5672608201270863,0.1434946318434466,0.004975124378109453,1.0,40,40,15,6,36,6,1.0,0.5074515811357916,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,4441,2,0.5658004007277778,0.5658004007277778,0.32670434535432996,0.004975124378109453,1.0,44,44,12,7,25,4,0.5714285714285714,0.657314891574676,False,,,,,,True
ODP2_GEOSE_Tsuboyama_2023_1W4G,6421,1,-0.5639946625339229,0.5639946625339229,-0.31915833351410294,0.004975124378109453,1.0,44,44,15,7,41,4,0.5714285714285714,1.0,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,9688,1,-0.5593582602443798,0.5593582602443798,-0.4295124460509792,0.004975124378109453,1.0,37,35,12,6,31,4,0.6666666666666666,0.958249024425495,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,4620,3,-0.5552570481616714,0.5552570481616714,-0.15307562414611725,0.004975124378109453,1.0,40,40,8,6,26,5,0.8333333333333334,0.299905168326221,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,9241,3,0.5525853027874723,0.5525853027874723,0.0445621659678304,0.004975124378109453,1.0,44,44,12,7,25,5,0.7142857142857143,0.33743836991142717,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,8960,4,0.5518689574708701,0.5518689574708701,0.1144452593225976,0.004975124378109453,1.0,44,44,12,7,25,5,0.7142857142857143,0.33743836991142717,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,1146,5,0.5505731505331909,0.5505731505331909,0.19243889233579892,0.004975124378109453,1.0,44,44,12,7,25,6,0.8571428571428571,0.10035341856101926,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,336,1,-0.5488366991435155,0.5488366991435155,-0.17330192412231937,0.004975124378109453,1.0,42,42,9,7,25,5,0.7142857142857143,0.3972477464133433,False,,,,,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,8494,1,0.5453792858759038,0.5453792858759038,0.40455052996154134,0.004975124378109453,1.0,41,41,16,6,37,6,1.0,0.5170336723610149,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,1146,4,0.5440555863643414,0.5440555863643414,0.5353693406318889,0.004975124378109453,1.0,40,40,8,6,26,5,0.8333333333333334,0.299905168326221,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,8960,1,0.5435468966497708,0.5435468966497708,0.31203698879621483,0.004975124378109453,1.0,52,52,21,8,41,7,0.875,0.45559096904256613,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,6467,5,-0.5428553676808282,0.5428553676808282,-0.28722335665297977,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
